market_id,slug,slot_start_us,slot_end_us,ticker,timeframe
0xd892543c65af2a9815dbf490e7fd556008cfd118327fc836189bb1746014944d,eth-updown-5m-1779192600,1779192600000000,1779192900000000,ETH,5m
0xa4cbff39b7bed12dd27b7b4f17b04eba20be1813288edd46b108c73b55ba44de,btc-updown-5m-1779192600,1779192600000000,1779192900000000,BTC,5m
0x5f35126f67d280f8e2175d81e3256bd7f5298b9575460c8f84f6510604699005,sol-updown-5m-1779192600,1779192600000000,1779192900000000,SOL,5m
0x3fb845d568ca48c453edb751b04ff01c4bdceb9e3668cef18e76eec6c245efff,eth-updown-15m-1779192900,1779192900000000,1779193800000000,ETH,15m
0xd5924b1c1fbc16b126226826c81ca5b29abece179e838ce233f9ef1993a0b252,btc-updown-5m-1779192900,1779192900000000,1779193200000000,BTC,5m
0x1c2ba5b103c0e39afe5b2f15c9c99a7959b49cd7a92ee5a597e51f697506cb23,sol-updown-5m-1779192900,1779192900000000,1779193200000000,SOL,5m
0xbe4d7a87b6794261f858d2e2c69a41c1c14c451d60260b526c52a0b65a59eb94,btc-updown-15m-1779192900,1779192900000000,1779193800000000,BTC,15m
0x529ca93fa28d1cae3fb2baa56acf82cce1ac3bbefb301460801442fbef136c0c,sol-updown-15m-1779192900,1779192900000000,1779193800000000,SOL,15m
0x352eada58862ed88e341d23183285575e84e28909793542740cb04dc015c4d70,eth-updown-5m-1779192900,1779192900000000,1779193200000000,ETH,5m
0xac40a38e7c8afb27e08ae82a4478d37f6fde29a824e3d6d0dd23afec86350a9c,sol-updown-5m-1779193200,1779193200000000,1779193500000000,SOL,5m
0x93906cc2060516996bdd905370272ff86342d2eb8ec84479d2956047743e89de,eth-updown-5m-1779193200,1779193200000000,1779193500000000,ETH,5m
0x03bc7b9a4bd05ee4711c2b0809f3267f8f87a8dc93198a0ea34de2060f444473,btc-updown-5m-1779193200,1779193200000000,1779193500000000,BTC,5m
0x6aa49c94523fa638363b946ce0e6e6f400730d66d398a30ac350a42708dcc2f8,btc-updown-5m-1779193500,1779193500000000,1779193800000000,BTC,5m
0x232c9aba304d37b5257414f52d4ba25e74d2fba689f8b256e7cc46047256795c,sol-updown-5m-1779193500,1779193500000000,1779193800000000,SOL,5m
0xde9ab4a898d2252eb5060bb1b128f16d783b8141ac84f18bf408da5b658aab7b,eth-updown-5m-1779193500,1779193500000000,1779193800000000,ETH,5m
0x2f06f4c723a0636758fa09353addc6cdd9c86d574537aa658ed1bf30ed1fa469,sol-updown-5m-1779193800,1779193800000000,1779194100000000,SOL,5m
0x99754ed8c9de12b84ace6b9469b4b5c0dee1e36ee0d10fd119170f6bba2ab9e9,sol-updown-15m-1779193800,1779193800000000,1779194700000000,SOL,15m
0xc590764a26a95bb8320fff07d151592b0332e69c4d17fa326f98bdd34c0d0e09,eth-updown-15m-1779193800,1779193800000000,1779194700000000,ETH,15m
0x3239ab34eed168065dd2d3202957da4f05195bd10e39ccaca46f205962d92b05,btc-updown-5m-1779193800,1779193800000000,1779194100000000,BTC,5m
0x9e4d8dd12d82bd58a03124f0e8d5a8eabfec86f8e4a207fc4a78d28a895b7bea,btc-updown-15m-1779193800,1779193800000000,1779194700000000,BTC,15m
0x44fd87aa35dd7cf97125d5e228889401ef52427c68c5fef3d968abc70279740c,eth-updown-5m-1779193800,1779193800000000,1779194100000000,ETH,5m
0x4b85a0ed7ae8b1b526aaa8d49a942dc24f2d01c2f4432b3e70f6890665494970,eth-updown-5m-1779194100,1779194100000000,1779194400000000,ETH,5m
0xda43387ef522e984c32de8971a47c66d8657ffbdcfe37492be3376b79fb61041,btc-updown-5m-1779194100,1779194100000000,1779194400000000,BTC,5m
0xf477b426f472178d7ad563aeae3adb6f4ad671b51df305928180e655e873f78c,sol-updown-5m-1779194100,1779194100000000,1779194400000000,SOL,5m
0x26fbf1524bd37f149b67778b4a6170987f37fc8b26b6b51bdef93adadecc5bee,eth-updown-5m-1779194400,1779194400000000,1779194700000000,ETH,5m
0x15fd55f93809b220fd2c8cde4526c44963c3018d6c48c0687805d1083e7ea917,sol-updown-5m-1779194400,1779194400000000,1779194700000000,SOL,5m
0x3307c03c1fce68df802008b46f18121a6e051e77c7c66fc675cb851d36e1b0dc,btc-updown-5m-1779194400,1779194400000000,1779194700000000,BTC,5m
0xfb09f249906b90727c20832313e63c5ccbff1d09cc9bb097cc7a996c5c8b27d5,btc-updown-5m-1779194700,1779194700000000,1779195000000000,BTC,5m
0x12e19e3f0fe312c74955b660ecf40e042418bb5b4c41cad1a418577bed1c9d53,eth-updown-15m-1779194700,1779194700000000,1779195600000000,ETH,15m
0x0f6ec4d5186c8715d1071701ff249b18b27c82796dd0b1a1f42ec2392a38ce20,sol-updown-5m-1779194700,1779194700000000,1779195000000000,SOL,5m
0x7e1ac827e0c6c41fe7d64c59f063957eacecddee309b521f34352735cdfb2964,btc-updown-15m-1779194700,1779194700000000,1779195600000000,BTC,15m
0x4f981b683dc03f748ce567f8868802bf5d78e34661c4851fc8904477bfe68a68,eth-updown-5m-1779194700,1779194700000000,1779195000000000,ETH,5m
0x0bf9440df979f75756d475a2558544cf9ca4e59f893466826d4bbfa98cc37610,sol-updown-15m-1779194700,1779194700000000,1779195600000000,SOL,15m
0xf0cab3090e89d968589737d418f48505d64954ef8acd4e60c8dd2c60c0d303b3,eth-updown-5m-1779195000,1779195000000000,1779195300000000,ETH,5m
0x6480f416a0cdc6a2e1cf9087a5e10e88cced3dd9faee300f40b711a89aa9ffb8,sol-updown-5m-1779195000,1779195000000000,1779195300000000,SOL,5m
0xa2e06a30fd7193c051090eb1a6be03aaba50c6d77cdb84e346fe3adc1601800d,btc-updown-5m-1779195000,1779195000000000,1779195300000000,BTC,5m
