ts_us,action,trigger_reason,slug,side,price,size,filled_size,outcome_truth,pnl,up_filled,dn_filled,pair_cost
1778770099728703,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.5005,20.0,,,,,,
1778770282151522,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.5249,20.0,,,,,,
1778770189299526,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.4469,20.0,,,,,,
1778770230585330,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.5207,20.0,,,,,,
1778770252665868,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4432,20.0,,,,,,
1778770072627777,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.421,20.0,,,,,,
1778770249988287,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4011,20.0,,,,,,
1778770239255933,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.4997,20.0,,,,,,
1778770141998576,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.5171,20.0,,,,,,
1778770167138441,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4853,20.0,,,,,,
1778770012141431,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4172,20.0,,,,,,
1778770132444458,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.4707,20.0,,,,,,
1778770256668922,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.5147,20.0,,,,,,
1778770172805586,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.483,20.0,,,,,,
1778770028079361,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.4456,20.0,,,,,,
1778770181248634,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4655,20.0,,,,,,
1778770294838779,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4613,20.0,,,,,,
1778770297807020,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.4351,20.0,,,,,,
1778770246680660,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4422,20.0,,,,,,
1778770275377987,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Up,0.4993,20.0,,,,,,
1778770038757939,POST_BID,post_initial_bid,btc-updown-5m-1778770000,Down,0.5176,20.0,,,,,,
