strategy_id,symbol,tf,n_bars,n_trades,is_sharpe,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_calmar,oos_ulcer,oos_upi,oos_tail_ratio,oos_dd_duration_bars,oos_dd_recovery_bars,oos_psr,oos_dsr,n_profitable_regimes,regime_sharpes,worst3_months_mean,rho_buy_hold_oos,maker_fill_pct,unfilled_pct,fee_drag,total_fee_paid,gates_passed,gate_detail,win_rate,profit_factor,avg_win,avg_loss,avg_hold_bars,monthly_returns,yearly_returns,equity_file,execution_mode
ema_trend_adx,BTCUSDT,4h,6570,34,1.132,0.89,0.764,0.2231,-0.2018,1.105,12.044,0.019,1.174,1341,531,1.0,0.0,3,"{""strong_uptrend"": 0.8696825574625568, ""weak_uptrend"": 1.995921677558236, ""weak_downtrend"": -1.013316978852708, ""strong_downtrend"": 0.8964524940013582}",-0.0431,0.52,0.0,0.0,,0.0,1,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": false, ""gate_maker_fill"": false}",0.294,2.092,2360.68,-470.18,293.06,"{""2022-01"": 0.0, ""2022-02"": -0.0039, ""2022-03"": 0.0288, ""2022-04"": -0.0862, ""2022-05"": -0.0351, ""2022-06"": -0.1123, ""2022-07"": 0.0062, ""2022-08"": -0.0303, ""2022-09"": -0.0539, ""2022-10"": 0.0368, ""2022-11"": -0.0254, ""2022-12"": -0.0298, ""2023-01"": 0.3693, ""2023-02"": -0.0613, ""2023-03"": 0.1708, ""2023-04"": -0.0201, ""2023-05"": -0.0421, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": -0.0655, ""2023-09"": -0.0033, ""2023-10"": 0.2333, ""2023-11"": 0.089, ""2023-12"": 0.0562, ""2024-01"": -0.0552, ""2024-02"": 0.4357, ""2024-03"": 0.0698, ""2024-04"": -0.1088, ""2024-05"": -0.0343, ""2024-06"": 0.0, ""2024-07"": -0.014, ""2024-08"": -0.0809, ""2024-09"": 0.1028, ""2024-10"": 0.0618, ""2024-11"": 0.2523, ""2024-12"": -0.0072}","{""2022"": -0.2741, ""2023"": 0.8663, ""2024"": 0.6476}",ema_trend_adx__BTCUSDT__4h.parquet,v1
ema_trend_adx,ETHUSDT,4h,6570,34,-0.465,0.326,0.248,0.0544,-0.262,0.208,12.73,0.004,0.974,1345,1055,1.0,0.0,2,"{""weak_uptrend"": -0.7930956748892234, ""strong_downtrend"": 0.0, ""weak_downtrend"": 2.169708615030127, ""strong_uptrend"": 0.9328156689028857}",-0.0552,0.555,0.0,0.0,,0.0,1,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": false, ""gate_maker_fill"": false}",0.235,0.694,907.15,-402.4,179.88,"{""2022-01"": 0.0, ""2022-02"": -0.1492, ""2022-03"": 0.1901, ""2022-04"": -0.0719, ""2022-05"": -0.0886, ""2022-06"": -0.1422, ""2022-07"": 0.1148, ""2022-08"": 0.0, ""2022-09"": -0.0244, ""2022-10"": -0.0377, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": -0.0551, ""2023-03"": 0.0193, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0775, ""2023-07"": -0.0938, ""2023-08"": -0.0533, ""2023-09"": -0.0227, ""2023-10"": 0.0915, ""2023-11"": 0.0555, ""2023-12"": -0.0965, ""2024-01"": -0.0259, ""2024-02"": -0.0128, ""2024-03"": 0.0023, ""2024-04"": -0.2489, ""2024-05"": 0.1734, ""2024-06"": -0.0207, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": -0.0505, ""2024-11"": 0.3639, ""2024-12"": -0.0943}","{""2022"": -0.2311, ""2023"": -0.0943, ""2024"": -0.0243}",ema_trend_adx__ETHUSDT__4h.parquet,v1
ema_trend_adx,SOLUSDT,4h,6570,30,1.562,0.173,0.106,0.0064,-0.1992,0.032,14.433,0.0,1.017,1379,815,1.0,0.0,2,"{""weak_uptrend"": 0.9188529960848889, ""strong_uptrend"": 1.9239362978361885, ""strong_downtrend"": -4.808967592969841, ""weak_downtrend"": -0.8112815948043992}",-0.0446,0.362,0.0,0.0,,0.0,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.4,3.859,5648.51,-975.94,273.2,"{""2022-01"": 0.0, ""2022-02"": -0.0127, ""2022-03"": 0.4055, ""2022-04"": -0.0876, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0044, ""2022-08"": -0.1835, ""2022-09"": -0.0371, ""2022-10"": 0.0306, ""2022-11"": -0.2535, ""2022-12"": -0.1565, ""2023-01"": 0.9987, ""2023-02"": -0.0854, ""2023-03"": -0.0599, ""2023-04"": -0.0181, ""2023-05"": 0.0136, ""2023-06"": -0.0197, ""2023-07"": 0.2783, ""2023-08"": -0.0531, ""2023-09"": 0.0643, ""2023-10"": 0.7056, ""2023-11"": 0.4135, ""2023-12"": 0.0, ""2024-01"": 0.0398, ""2024-02"": 0.1627, ""2024-03"": 0.5003, ""2024-04"": -0.0844, ""2024-05"": -0.0465, ""2024-06"": -0.0093, ""2024-07"": -0.0778, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": 0.0, ""2024-11"": 0.2318, ""2024-12"": 0.0}","{""2022"": -0.3512, ""2023"": 4.2082, ""2024"": 0.782}",ema_trend_adx__SOLUSDT__4h.parquet,v1
donchian_breakout,BTCUSDT,4h,6570,96,0.567,1.193,1.148,0.3298,-0.1542,2.138,7.058,0.047,1.076,903,341,1.0,0.0,3,"{""strong_uptrend"": -0.0932108722625336, ""weak_uptrend"": 2.2017214648182235, ""weak_downtrend"": 1.137147886687441, ""strong_downtrend"": 2.065028811324938}",-0.0229,0.526,0.0,0.0,,0.0,3,"{""gate_mdd"": true, ""gate_calmar"": true, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": false, ""gate_maker_fill"": false}",0.417,1.447,517.66,-255.62,82.46,"{""2022-01"": -0.1455, ""2022-02"": 0.0829, ""2022-03"": -0.0477, ""2022-04"": -0.0085, ""2022-05"": -0.1091, ""2022-06"": -0.1085, ""2022-07"": 0.1221, ""2022-08"": -0.056, ""2022-09"": -0.0474, ""2022-10"": -0.0218, ""2022-11"": -0.0178, ""2022-12"": -0.02, ""2023-01"": 0.1586, ""2023-02"": 0.0447, ""2023-03"": 0.064, ""2023-04"": 0.046, ""2023-05"": -0.0634, ""2023-06"": 0.1358, ""2023-07"": -0.0978, ""2023-08"": -0.0679, ""2023-09"": 0.0104, ""2023-10"": 0.233, ""2023-11"": -0.1112, ""2023-12"": 0.1142, ""2024-01"": 0.0482, ""2024-02"": 0.3264, ""2024-03"": -0.0284, ""2024-04"": -0.0252, ""2024-05"": 0.0165, ""2024-06"": -0.0082, ""2024-07"": -0.0349, ""2024-08"": -0.0154, ""2024-09"": 0.0769, ""2024-10"": 0.0443, ""2024-11"": 0.2008, ""2024-12"": -0.0183}","{""2022"": -0.3408, ""2023"": 0.4867, ""2024"": 0.6726}",donchian_breakout__BTCUSDT__4h.parquet,v1
donchian_breakout,ETHUSDT,4h,6570,101,0.084,1.023,1.1,0.3334,-0.2566,1.299,14.761,0.023,1.06,999,311,1.0,0.0,3,"{""weak_uptrend"": -0.09170784921771574, ""strong_downtrend"": 1.8229896568299078, ""weak_downtrend"": 2.1262823816187946, ""strong_uptrend"": 0.766925687192608}",-0.0752,0.526,0.0,0.0,,0.0,1,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": false, ""gate_maker_fill"": false}",0.317,1.07,576.68,-250.05,89.03,"{""2022-01"": -0.1136, ""2022-02"": -0.1004, ""2022-03"": 0.0735, ""2022-04"": -0.03, ""2022-05"": -0.108, ""2022-06"": -0.1115, ""2022-07"": 0.3047, ""2022-08"": -0.0895, ""2022-09"": -0.1747, ""2022-10"": 0.0321, ""2022-11"": -0.0181, ""2022-12"": -0.0422, ""2023-01"": 0.0787, ""2023-02"": 0.0146, ""2023-03"": -0.0476, ""2023-04"": -0.0909, ""2023-05"": -0.054, ""2023-06"": 0.0398, ""2023-07"": -0.01, ""2023-08"": -0.0217, ""2023-09"": 0.0046, ""2023-10"": 0.1112, ""2023-11"": 0.0145, ""2023-12"": 0.0293, ""2024-01"": 0.0327, ""2024-02"": 0.4018, ""2024-03"": -0.0274, ""2024-04"": -0.0864, ""2024-05"": 0.2226, ""2024-06"": -0.1077, ""2024-07"": -0.0156, ""2024-08"": -0.088, ""2024-09"": 0.013, ""2024-10"": 0.0613, ""2024-11"": 0.2937, ""2024-12"": -0.0298}","{""2022"": -0.3739, ""2023"": 0.0523, ""2024"": 0.6998}",donchian_breakout__ETHUSDT__4h.parquet,v1
donchian_breakout,SOLUSDT,4h,6570,95,0.997,0.793,0.767,0.2665,-0.1642,1.623,8.256,0.032,0.974,564,26,1.0,0.0,2,"{""weak_uptrend"": -1.855814389925752, ""strong_uptrend"": 4.06509240671932, ""strong_downtrend"": -0.9961565128629832, ""weak_downtrend"": 1.538255340942545}",-0.052,0.472,0.0,0.0,,0.0,4,"{""gate_mdd"": true, ""gate_calmar"": true, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.432,1.643,1281.22,-591.95,88.25,"{""2022-01"": -0.0317, ""2022-02"": -0.1168, ""2022-03"": 0.1958, ""2022-04"": 0.0025, ""2022-05"": -0.2552, ""2022-06"": -0.1981, ""2022-07"": 0.1654, ""2022-08"": -0.0055, ""2022-09"": -0.0981, ""2022-10"": -0.0374, ""2022-11"": -0.0569, ""2022-12"": -0.0502, ""2023-01"": 0.2801, ""2023-02"": -0.0503, ""2023-03"": -0.1572, ""2023-04"": 0.0598, ""2023-05"": -0.0665, ""2023-06"": -0.0157, ""2023-07"": 0.1831, ""2023-08"": -0.0097, ""2023-09"": 0.0373, ""2023-10"": 0.6814, ""2023-11"": 0.2133, ""2023-12"": 0.401, ""2024-01"": -0.0293, ""2024-02"": 0.2226, ""2024-03"": 0.1532, ""2024-04"": -0.096, ""2024-05"": 0.2165, ""2024-06"": -0.0278, ""2024-07"": 0.0682, ""2024-08"": 0.0014, ""2024-09"": 0.038, ""2024-10"": -0.0279, ""2024-11"": 0.1242, ""2024-12"": -0.1002}","{""2022"": -0.448, ""2023"": 2.466, ""2024"": 0.5976}",donchian_breakout__SOLUSDT__4h.parquet,v1
rsi_mean_reversion,BTCUSDT,4h,6570,10,0.253,-0.206,-0.057,-0.0503,-0.2144,-0.235,6.493,-0.008,0.0,906,886,0.0,0.0,2,"{""strong_uptrend"": -0.8764160172186923, ""weak_uptrend"": -2.4414833441006394, ""weak_downtrend"": 1.833593482500687, ""strong_downtrend"": 3.338410449654688}",-0.0263,0.344,0.0,0.0,,0.0,2,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.6,1.067,352.09,-494.95,102.0,"{""2022-01"": 0.0, ""2022-02"": -0.0351, ""2022-03"": 0.0, ""2022-04"": -0.044, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": 0.0, ""2023-03"": 0.0, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": -0.0045, ""2023-11"": 0.0517, ""2023-12"": 0.0328, ""2024-01"": 0.0, ""2024-02"": 0.0, ""2024-03"": 0.056, ""2024-04"": 0.0, ""2024-05"": 0.0, ""2024-06"": 0.0314, ""2024-07"": 0.0, ""2024-08"": -0.0789, ""2024-09"": 0.0, ""2024-10"": 0.0127, ""2024-11"": 0.0, ""2024-12"": 0.0}","{""2022"": -0.0775, ""2023"": 0.0812, ""2024"": 0.0159}",rsi_mean_reversion__BTCUSDT__4h.parquet,v1
rsi_mean_reversion,ETHUSDT,4h,6570,9,0.182,0.079,0.02,-0.0047,-0.1622,-0.029,1.627,-0.003,0.0,385,64,0.9993,0.0,1,"{""weak_uptrend"": -0.8150336071539437, ""strong_downtrend"": 0.0, ""weak_downtrend"": 0.0, ""strong_uptrend"": 2.0138376411916985}",-0.0012,0.319,0.0,0.0,,0.0,2,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.444,1.2,463.14,-308.79,121.78,"{""2022-01"": 0.0, ""2022-02"": 0.0, ""2022-03"": 0.0, ""2022-04"": -0.0384, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0925, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": 0.0, ""2023-03"": 0.0, ""2023-04"": -0.021, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0195, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0, ""2023-11"": 0.0, ""2023-12"": 0.0229, ""2024-01"": 0.0, ""2024-02"": 0.0, ""2024-03"": -0.0355, ""2024-04"": 0.0, ""2024-05"": 0.0, ""2024-06"": 0.0, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": -0.0007, ""2024-11"": 0.0, ""2024-12"": -0.0028}","{""2022"": 0.0506, ""2023"": 0.021, ""2024"": -0.0389}",rsi_mean_reversion__ETHUSDT__4h.parquet,v1
rsi_mean_reversion,SOLUSDT,4h,6570,9,0.452,-0.231,-0.066,-0.0987,-0.3177,-0.311,7.014,-0.014,0.0,909,886,0.0,0.0,2,"{""weak_uptrend"": -1.078420678848926, ""strong_uptrend"": -4.603309448944017, ""strong_downtrend"": 5.081846240465626, ""weak_downtrend"": 1.8892374760845574}",-0.0364,0.334,0.0,0.0,,0.0,2,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.667,1.224,502.86,-821.63,98.67,"{""2022-01"": 0.0, ""2022-02"": 0.0, ""2022-03"": 0.0, ""2022-04"": -0.0791, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": -0.0467, ""2023-03"": 0.0, ""2023-04"": 0.0091, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0659, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0287, ""2023-11"": 0.0641, ""2023-12"": 0.0, ""2024-01"": 0.1035, ""2024-02"": 0.0, ""2024-03"": 0.0, ""2024-04"": 0.0, ""2024-05"": 0.0, ""2024-06"": 0.0, ""2024-07"": 0.0, ""2024-08"": -0.1091, ""2024-09"": 0.0, ""2024-10"": 0.0383, ""2024-11"": 0.0, ""2024-12"": 0.0}","{""2022"": -0.0791, ""2023"": 0.1225, ""2024"": 0.0208}",rsi_mean_reversion__SOLUSDT__4h.parquet,v1
squeeze_breakout,BTCUSDT,4h,6570,99,-0.498,0.265,0.167,0.0328,-0.1494,0.219,7.325,0.004,0.903,706,86,1.0,0.0,3,"{""strong_uptrend"": 0.9145890951626946, ""weak_uptrend"": 1.505851463528633, ""weak_downtrend"": -3.982698196152921, ""strong_downtrend"": 3.960838944277343}",-0.0487,0.366,0.0,0.0,,0.0,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.303,0.77,264.41,-149.35,35.43,"{""2022-01"": -0.0439, ""2022-02"": 0.0255, ""2022-03"": -0.0787, ""2022-04"": -0.0526, ""2022-05"": -0.1047, ""2022-06"": -0.0704, ""2022-07"": -0.0268, ""2022-08"": -0.0658, ""2022-09"": -0.0576, ""2022-10"": -0.0306, ""2022-11"": 0.0033, ""2022-12"": 0.0052, ""2023-01"": -0.0476, ""2023-02"": 0.0605, ""2023-03"": -0.0266, ""2023-04"": -0.0235, ""2023-05"": -0.0359, ""2023-06"": 0.0831, ""2023-07"": -0.0825, ""2023-08"": -0.0467, ""2023-09"": -0.04, ""2023-10"": 0.1553, ""2023-11"": -0.0196, ""2023-12"": 0.1339, ""2024-01"": -0.0371, ""2024-02"": 0.2343, ""2024-03"": -0.0288, ""2024-04"": -0.037, ""2024-05"": -0.0071, ""2024-06"": 0.0094, ""2024-07"": 0.0571, ""2024-08"": -0.0886, ""2024-09"": -0.0054, ""2024-10"": 0.0111, ""2024-11"": 0.1538, ""2024-12"": -0.0504}","{""2022"": -0.4034, ""2023"": 0.0811, ""2024"": 0.1826}",squeeze_breakout__BTCUSDT__4h.parquet,v1
