label,n,sharpe,cagr,mdd,calmar,win,min_yr,variant
CCI_ETH_4h,115,1.31,0.249,-0.162,1.54,0.47,0.061,baseline_1x
CCI_ETH_4h,115,1.28,0.198,-0.145,1.36,0.47,0.042,mild
CCI_ETH_4h,115,1.28,0.178,-0.149,1.19,0.47,0.025,medium
CCI_ETH_4h,115,1.08,0.135,-0.175,0.77,0.47,0.004,strong
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,baseline_1x
STF_SOL_4h,125,0.63,0.129,-0.341,0.38,0.44,-0.126,mild
STF_SOL_4h,125,0.6,0.135,-0.376,0.36,0.44,-0.115,medium
STF_SOL_4h,125,0.54,0.145,-0.489,0.3,0.44,-0.177,strong
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,baseline_1x
STF_AVAX_4h,110,0.84,0.181,-0.291,0.62,0.38,-0.07,mild
STF_AVAX_4h,110,0.9,0.23,-0.329,0.7,0.38,-0.052,medium
STF_AVAX_4h,110,0.95,0.346,-0.453,0.76,0.38,-0.083,strong
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,baseline_1x
STF_DOGE_4h,114,0.51,0.097,-0.451,0.22,0.36,-0.303,mild
STF_DOGE_4h,114,0.61,0.132,-0.419,0.32,0.36,-0.31,medium
STF_DOGE_4h,114,0.67,0.202,-0.475,0.43,0.36,-0.389,strong
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,baseline_1x
VWZ_INJ_4h,23,0.6,0.043,-0.095,0.45,0.48,-0.033,mild
VWZ_INJ_4h,23,0.55,0.037,-0.092,0.4,0.48,-0.032,medium
VWZ_INJ_4h,23,0.52,0.034,-0.094,0.36,0.48,-0.033,strong
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,baseline_1x
LATBB_AVAX_4h,55,0.56,0.073,-0.336,0.22,0.4,-0.211,mild
LATBB_AVAX_4h,55,0.44,0.061,-0.38,0.16,0.4,-0.25,medium
LATBB_AVAX_4h,55,0.46,0.084,-0.487,0.17,0.4,-0.305,strong
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,baseline_1x
BB_AVAX_4h,264,1.23,0.512,-0.306,1.67,0.39,0.131,mild
BB_AVAX_4h,264,1.3,0.636,-0.345,1.84,0.39,0.121,medium
BB_AVAX_4h,264,1.37,1.002,-0.478,2.1,0.39,0.113,strong
