fired,skip_reason,slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
False,pre_open_4.53<13.00,btc-updown-5m-1777005300,1777005000,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_4.62<13.00,btc-updown-5m-1777005600,1777005300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_4.70<13.00,btc-updown-5m-1777005900,1777005600,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_4.78<13.00,btc-updown-5m-1777006200,1777005900,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_4.87<13.00,btc-updown-5m-1777006500,1777006200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_4.95<13.00,btc-updown-5m-1777006800,1777006500,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.03<13.00,btc-updown-5m-1777007100,1777006800,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.12<13.00,btc-updown-5m-1777007400,1777007100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.20<13.00,btc-updown-5m-1777007700,1777007400,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.28<13.00,btc-updown-5m-1777008000,1777007700,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.37<13.00,btc-updown-5m-1777008300,1777008000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.45<13.00,btc-updown-5m-1777008600,1777008300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.53<13.00,btc-updown-5m-1777008900,1777008600,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.62<13.00,btc-updown-5m-1777009200,1777008900,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.70<13.00,btc-updown-5m-1777009500,1777009200,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.78<13.00,btc-updown-5m-1777009800,1777009500,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.87<13.00,btc-updown-5m-1777010100,1777009800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_5.95<13.00,btc-updown-5m-1777010400,1777010100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.03<13.00,btc-updown-5m-1777010700,1777010400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.12<13.00,btc-updown-5m-1777011000,1777010700,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.20<13.00,btc-updown-5m-1777011300,1777011000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.28<13.00,btc-updown-5m-1777011600,1777011300,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.37<13.00,btc-updown-5m-1777011900,1777011600,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.45<13.00,btc-updown-5m-1777012200,1777011900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.53<13.00,btc-updown-5m-1777012500,1777012200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.62<13.00,btc-updown-5m-1777012800,1777012500,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.70<13.00,btc-updown-5m-1777013100,1777012800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.78<13.00,btc-updown-5m-1777013400,1777013100,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.87<13.00,btc-updown-5m-1777013700,1777013400,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_6.95<13.00,btc-updown-5m-1777014000,1777013700,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.03<13.00,btc-updown-5m-1777014300,1777014000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.12<13.00,btc-updown-5m-1777014600,1777014300,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.20<13.00,btc-updown-5m-1777014900,1777014600,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.28<13.00,btc-updown-5m-1777015200,1777014900,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.37<13.00,btc-updown-5m-1777015500,1777015200,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.45<13.00,btc-updown-5m-1777015800,1777015500,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.53<13.00,btc-updown-5m-1777016100,1777015800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.62<13.00,btc-updown-5m-1777016400,1777016100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.70<13.00,btc-updown-5m-1777016700,1777016400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.78<13.00,btc-updown-5m-1777017000,1777016700,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.87<13.00,btc-updown-5m-1777017300,1777017000,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_7.95<13.00,btc-updown-5m-1777017600,1777017300,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.03<13.00,btc-updown-5m-1777017900,1777017600,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.12<13.00,btc-updown-5m-1777018200,1777017900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.20<13.00,btc-updown-5m-1777018500,1777018200,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.28<13.00,btc-updown-5m-1777018800,1777018500,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.37<13.00,btc-updown-5m-1777019100,1777018800,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.45<13.00,btc-updown-5m-1777019400,1777019100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.53<13.00,btc-updown-5m-1777019700,1777019400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.62<13.00,btc-updown-5m-1777020000,1777019700,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.70<13.00,btc-updown-5m-1777020300,1777020000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.78<13.00,btc-updown-5m-1777020600,1777020300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.87<13.00,btc-updown-5m-1777020900,1777020600,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_8.95<13.00,btc-updown-5m-1777021200,1777020900,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.03<13.00,btc-updown-5m-1777021500,1777021200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.12<13.00,btc-updown-5m-1777021800,1777021500,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.20<13.00,btc-updown-5m-1777022100,1777021800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.28<13.00,btc-updown-5m-1777022400,1777022100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.37<13.00,btc-updown-5m-1777022700,1777022400,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.45<13.00,btc-updown-5m-1777023000,1777022700,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.53<13.00,btc-updown-5m-1777023300,1777023000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.62<13.00,btc-updown-5m-1777023600,1777023300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.70<13.00,btc-updown-5m-1777023900,1777023600,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.78<13.00,btc-updown-5m-1777024200,1777023900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.87<13.00,btc-updown-5m-1777024500,1777024200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_9.95<13.00,btc-updown-5m-1777024800,1777024500,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.03<13.00,btc-updown-5m-1777025100,1777024800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.12<13.00,btc-updown-5m-1777025400,1777025100,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.20<13.00,btc-updown-5m-1777025700,1777025400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.28<13.00,btc-updown-5m-1777026000,1777025700,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.37<13.00,btc-updown-5m-1777026300,1777026000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.45<13.00,btc-updown-5m-1777026600,1777026300,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.53<13.00,btc-updown-5m-1777026900,1777026600,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.62<13.00,btc-updown-5m-1777027200,1777026900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.70<13.00,btc-updown-5m-1777027500,1777027200,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.78<13.00,btc-updown-5m-1777027800,1777027500,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.87<13.00,btc-updown-5m-1777028100,1777027800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_10.95<13.00,btc-updown-5m-1777028400,1777028100,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.03<13.00,btc-updown-5m-1777028700,1777028400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.12<13.00,btc-updown-5m-1777029000,1777028700,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.20<13.00,btc-updown-5m-1777029300,1777029000,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.28<13.00,btc-updown-5m-1777029600,1777029300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.37<13.00,btc-updown-5m-1777029900,1777029600,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.45<13.00,btc-updown-5m-1777030200,1777029900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.53<13.00,btc-updown-5m-1777030500,1777030200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.62<13.00,btc-updown-5m-1777030800,1777030500,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.70<13.00,btc-updown-5m-1777031100,1777030800,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.78<13.00,btc-updown-5m-1777031400,1777031100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.87<13.00,btc-updown-5m-1777031700,1777031400,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_11.95<13.00,btc-updown-5m-1777032000,1777031700,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.03<13.00,btc-updown-5m-1777032300,1777032000,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.12<13.00,btc-updown-5m-1777032600,1777032300,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.20<13.00,btc-updown-5m-1777032900,1777032600,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.28<13.00,btc-updown-5m-1777033200,1777032900,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.37<13.00,btc-updown-5m-1777033500,1777033200,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.45<13.00,btc-updown-5m-1777033800,1777033500,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.53<13.00,btc-updown-5m-1777034100,1777033800,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.62<13.00,btc-updown-5m-1777034400,1777034100,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.70<13.00,btc-updown-5m-1777034700,1777034400,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.78<13.00,btc-updown-5m-1777035000,1777034700,Down,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.87<13.00,btc-updown-5m-1777035300,1777035000,Up,,,,,,,,,,,,,,,,,,,,,
False,pre_open_12.95<13.00,btc-updown-5m-1777035600,1777035300,Up,,,,,,,,,,,,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777035900,1777035600,Up,78330.8,0.0,0.0,-1.0,0.0,0.13035817318362236,-0.004316675485888595,-0.010791688714721488,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777036200,1777035900,Down,78401.4,0.0,0.0,-1.0,0.0,0.22013958715324755,-0.04687786537538207,-0.11719466343845517,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777036500,1777036200,Up,78408.46,0.0,0.0,-1.0,0.0,0.2034364464422705,-0.045454101235662486,-0.11363525308915622,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777036800,1777036500,Down,78327.49,0.0,0.0,-1.0,0.0,0.14211086946873175,-0.08017074215804762,-0.20042685539511904,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777037100,1777036800,Down,78359.66,0.0,0.0,-1.0,0.0,0.1399783399087115,-0.11030012812140476,-0.2757503203035119,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777037400,1777037100,Up,78170.29,0.0,0.0,0.0,0.0,0.47293347252542683,0.06297430831375915,0.15743577078439788,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777037700,1777037400,Down,78128.61,0.0,0.0,1.0,0.0,0.7893802790167553,-0.023410262298526528,-0.05852565574631632,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777038000,1777037700,Down,78169.61,0.0,0.0,0.0,0.0,0.47809623232417753,0.059998825120028444,0.1499970628000711,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777038300,1777038000,Down,78167.73,0.0,0.0,0.0,0.0,0.49236974470914086,0.017134359085045212,0.04283589771261303,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777038600,1777038300,Down,78222.22,0.0,0.0,0.0,0.0,0.5158892192978503,0.02893232119906219,0.07233080299765547,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777038900,1777038600,Up,78060.32,0.0,0.0,0.0,0.0,0.5762282507015798,0.03873044665096233,0.09682611662740581,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777039200,1777038900,Down,77968.0,0.0,0.0,0.0,0.0,0.6351170568562263,0.13575735764345673,0.3393933941086418,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777039500,1777039200,Up,77979.53,0.0,0.0,0.0,0.0,0.44230769230773676,0.020319655827232955,0.05079913956808239,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777039800,1777039500,Down,77900.0,0.0,0.0,0.0,0.0,0.5571428571428572,-0.12103972314298617,-0.3025993078574654,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777040100,1777039800,Up,77989.4,0.0,0.0,-1.0,0.0,0.2772575250837223,-0.047187467116009116,-0.11796866779002278,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777040400,1777040100,Down,77913.58,0.0,0.0,0.0,0.0,0.49506285714284914,-0.09608340482883923,-0.24020851207209806,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777040700,1777040400,Down,77915.03,0.0,0.0,0.0,0.0,0.48843428571429104,0.0633718893866029,0.15842972346650724,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777041000,1777040700,Up,77770.46,0.0,0.0,0.0,0.0,0.5394897446329706,0.05654326445471672,0.14135816113679178,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777041300,1777041000,Up,77771.03,0.0,0.0,0.0,0.0,0.5383983916904008,-0.04137630309740325,-0.10344075774350811,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777041600,1777041300,Down,77875.01,0.0,0.0,1.0,0.0,0.671382857142881,-0.06386959935550643,-0.15967399838876606,0.0,0.0,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777041900,1777041600,Down,77904.01,0.0,0.0,0.0,-1.0,0.5388114285714525,-0.18095442836004932,-0.4523860709001233,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777042200,1777041900,Up,78045.72,0.0,0.0,-1.0,0.0,0.19047303061897103,-0.09354338838387431,-0.23385847095968576,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777042500,1777042200,Up,77963.65,0.0,0.0,1.0,0.0,0.707859531772717,0.007327186919860006,0.018317967299650014,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777042800,1777042500,Down,78046.61,0.0,0.0,-1.0,0.0,0.1837235756943374,-0.08555113203872954,-0.21387783009682382,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777043100,1777042800,Down,77881.77,0.0,0.0,0.0,0.0,0.6404799999999814,-0.011594754453783187,-0.028986886134457965,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777043400,1777043100,Up,77633.4,0.0,0.0,0.0,0.0,0.6284748906850662,0.05361481369134485,0.1340370342283621,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777043700,1777043400,Down,77729.1,0.0,0.0,-1.0,0.0,0.12125347820323146,-0.08020423550079059,-0.20051058875197647,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777044000,1777043700,Up,77762.0,0.0,0.0,0.0,0.0,0.5556877198860761,-0.03219978228458169,-0.08049945571145421,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777044300,1777044000,Up,77744.03,0.0,0.0,0.0,0.0,0.5900940573917623,0.006061654546969035,0.015154136367422586,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777044600,1777044300,Up,77837.62,0.0,0.0,1.0,0.0,0.8423085714285927,0.044066226022400026,0.11016556505600006,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777044900,1777044600,Down,77850.65,0.0,0.0,1.0,0.0,0.7827428571428838,0.021544586993293334,0.05386146748323333,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777045200,1777044900,Up,77770.46,0.0,0.0,0.0,0.0,0.5394897446329706,-0.00441905490847833,-0.011047637271195825,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777045500,1777045200,Down,77747.09,0.0,0.0,0.0,0.0,0.5842352152789458,0.055578452131908956,0.13894613032977238,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777045800,1777045500,Up,78055.39,0.0,0.0,-1.0,0.0,0.11713906531420953,-0.10670752486339352,-0.2667688121584838,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777046100,1777045800,Up,78032.49,0.0,0.0,-1.0,0.0,0.29080481562226684,-0.11084121098045543,-0.2771030274511386,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777046400,1777046100,Down,77977.01,0.0,0.0,0.0,0.0,0.4844481605352327,-0.05451729384577297,-0.1362932346144324,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777046700,1777046400,Down,77935.26,0.0,0.0,0.0,0.0,0.3959542857143097,0.0005427440460523198,0.0013568601151307995,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777047000,1777046700,Down,78021.71,0.0,0.0,0.0,0.0,0.3725566404397834,-0.05729371859182614,-0.14323429647956534,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777047300,1777047000,Down,77946.5,0.0,0.0,-1.0,0.0,0.34457142857142853,-0.03565366486504242,-0.08913416216260604,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777047600,1777047300,Up,77775.78,0.0,0.0,0.0,0.0,0.5293037838355317,-0.06693572654478164,-0.1673393163619541,0.0,0.0,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777047900,1777047600,Down,77680.64,0.0,0.0,0.0,1.0,0.3780972571882886,0.19236113404109825,0.4809028351027456,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777048200,1777047900,Up,77729.99,0.0,0.0,-1.0,0.0,0.11653637206834655,0.07200260490331513,0.18000651225828782,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777048500,1777048200,Down,77780.01,0.0,0.0,0.0,0.0,0.5212047962089927,-0.10127974991493693,-0.25319937478734234,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777048800,1777048500,Down,77842.83,0.0,0.0,1.0,0.0,0.8184914285714207,-0.002508976258548064,-0.0062724406463701594,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777049100,1777048800,Down,77588.01,0.0,0.0,1.0,0.0,0.8690473035643492,0.09245139853873911,0.23112849634684776,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777049400,1777049100,Up,77740.65,0.0,0.0,0.0,0.0,0.5965655888758676,-0.0033397993336715323,-0.00834949833417883,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777049700,1777049400,Up,77640.9,0.0,0.0,0.0,0.0,0.5887239962899429,0.005888716335899129,0.014721790839747822,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050000,1777049700,Down,77700.01,0.0,0.0,-1.0,0.0,0.27543394726384157,0.02407501681853599,0.06018754204633997,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050300,1777050000,Down,77707.49,0.0,0.0,-1.0,0.0,0.2357890552537164,0.004324092132849095,0.010810230332122738,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050600,1777050300,Up,77698.84,0.0,0.0,-1.0,0.0,0.2816350867894716,0.023823826432366697,0.05955956608091674,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777050900,1777050600,Down,77751.26,0.0,0.0,0.0,0.0,0.5762511069095166,-0.0023325185849873255,-0.005831296462468313,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777051200,1777050900,Down,77727.99,0.0,0.0,-1.0,0.0,0.12713661057371278,-0.006916516235754649,-0.01729129058938662,0.0,0.0,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777051500,1777051200,Up,77615.28,0.0,0.0,1.0,-1.0,0.7245130515436593,-0.24593554018057381,-0.6148388504514345,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777051800,1777051500,Down,77623.66,0.0,0.0,1.0,0.0,0.6800980522061503,-0.053163139316703946,-0.13290784829175986,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777052100,1777051800,Up,77689.85,0.0,0.0,-1.0,0.0,0.3292831588710433,0.03559863372853369,0.08899658432133421,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777052400,1777052100,Up,77598.03,0.0,0.0,1.0,0.0,0.8159401086524429,0.04753941259785048,0.1188485314946262,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777052700,1777052400,Up,77569.09,0.0,0.0,0.0,0.0,0.5752308862410017,0.061898636753961137,0.15474659188490283,0.0,0.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777053000,1777052700,Up,77580.01,0.0,0.0,1.0,0.0,0.885682211816057,0.02096492004331095,0.052412300108277375,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777053300,1777053000,Down,77670.51,0.0,0.0,0.0,0.0,0.43178746521799316,-0.033281385068377724,-0.0832034626709443,0.0,0.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777053600,1777053300,Down,77794.79,0.0,0.0,0.0,0.0,0.49290620587321265,-0.0916407711873745,-0.22910192796843623,0.0,0.0,no_data,,,,,,,,,,
