version,sleeve_id,asset,tf,offsets,direction,n_gates,gate_stack
V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,BTC,5m,[30],BOTH,2,g_trend_slope_strong_with|g_mp_skew_with
V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,BTC,5m,[30],BOTH,2,g_trend_slope_strong_with|g_mp_skew_with
V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,ETH,5m,[120],BOTH,4,g_tr_above_ema200|g_mp_skew_with|g_sms_liq_reclaim_with|g_tr_in_active_session
V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,ETH,5m,[120],BOTH,4,g_tr_above_ema200|g_mp_skew_with|g_mp_no_extreme|g_sms_liq_reclaim_with
V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,ETH,5m,[120],BOTH,4,g_tr_above_cloud|g_mp_skew_with|g_sms_liq_reclaim_with|g_tr_in_active_session
V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,SOL,5m,"[30, 60, 90]",UP,3,g_depth_250_strict|g_hod_us_afternoon|g_tr_in_active_session
V5,SOL_5M_RF_TR_PP_MID_V5,SOL,5m,"[90, 120, 150, 180]",BOTH,4,g_rf_strict_align|g_tr_above_ema200|g_tr_above_pp|g_tr_partial_stack_with
V5,SOL_5M_RF_TR_PARTIAL_MID_V5,SOL,5m,"[90, 120, 150, 180]",BOTH,2,g_rf_strict_align|g_tr_partial_stack_with
V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,BTC,15m,[600],DOWN,2,g_tr_stack_full_with|g_trend_slope_with
V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC,15m,[480],UP,2,g_regime_stack_with|g_tr_stack_full_with
V5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC,15m,[600],DOWN,2,g_mp_skew_strong_with|g_tr_stack_full_with
V5,BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC,15m,[600],DOWN,2,g_tr_above_ema50|g_tr_above_ema800
V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,ETH,15m,"[0, 30, 60]",BOTH,4,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high
V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,ETH,15m,"[0, 30, 60]",BOTH,3,g_tr_stack_full_with|g_offset_early|g_above_1h_dailyvwap_with
V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,SOL,15m,"[120, 180, 240]",BOTH,5,g_tr_stack_full_with|g_vol_high|g_ribbon_agrees|g_tr_above_ema200|g_tr_above_ema800
V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,SOL,15m,"[480, 600, 720, 840]",BOTH,3,g_rf_aged|g_tr_stack_full_with|g_tr_stack_with
V6,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,ETH,5m,[60],BOTH,4,g_tr_above_cloud|g_ribbon_agrees|g_mp_skew_with|g_hurst_trending
V6,ETH_5M_V5_REPL_OFF120_V6,ETH,5m,[120],BOTH,4,g_tr_above_ema200|g_mp_skew_with|g_sms_liq_reclaim_with|g_tr_in_active_session
V6,ETH_5M_BB_MP_HURST_BAND_V6,ETH,5m,[60],BOTH,4,g_bb_pos_with|g_mp_skew_with|g_hurst_trending|g_entry_vwap_in_band
